V1,Copies,Benefit_given_cost,Cost_given_benefit,Good_deal,Satisfy,Gender
R_067f0h5h30SeCt6,Two Copies,4,3,2,5,Female
R_09db6dcwEB1r0WM,Two Copies,3,2,3,6,Female
R_0dlBv64Xl2jZ93K,Two Copies,2,4,2,1,Male
R_0DNXESYJn0a4Muw,Two Copies,6,3,4,5,Male
R_0DtPtJTXX5wmWJm,Two Copies,3,3,3,3,Female
R_0ePrAMIf01Ul5MV,Two Copies,6,4,4,6,Male
R_0GQ2GUxybm1ToWg,Two Copies,2,6,7,3,Female
R_0IBFB1HtvIsXkMY,Two Copies,3,7,4,6,Female
R_0IispEZLyIIkCUc,Two Copies,5,5,4,4,Female
R_0lhcSedh1rztCnP,Two Copies,6,5,5,6,Female
R_0P3kokrpwG8xhpr,Two Copies,5,5,6,6,Male
R_0P9gJ55Frj2VYzO,Two Copies,3,6,1,3,Male
R_0pHihjhA6tUpP6c,Two Copies,5,6,5,6,Male
R_0qQKrrASF1h0zWc,Two Copies,3,3,2,7,Female
R_0SBYpam7S9ePaHG,Two Copies,6,6,6,6,Male
R_0T9gkkC4zaWDxrL,Two Copies,6,4,3,4,Male
R_0TXAdltcGCO3wr2,Two Copies,4,4,1,1,Male
R_0UKTLMq7FKHgtSs,Two Copies,7,1,3,2,Male
R_0UlW1ZtURbzo460,Two Copies,2,4,2,1,Male
R_0vPGuHv60I5Lmlu,Two Copies,6,5,6,3,Female
R_0wudsVw0HJXLuBe,Two Copies,4,7,5,6,Male
R_0xGYbJPCPSZciLb,Two Copies,5,6,5,6,Female
R_1B2PxSUXtwlYNAE,Two Copies,1,4,7,5,Male
R_1Bv0rn7xKxSbomU,Two Copies,7,1,5,2,Female
R_1G4QoRuFVuh83Cl,Two Copies,1,1,1,6,Female
R_1LkyTQgZjAGASfq,Two Copies,4,7,3,1,Male
R_1MvV7Z01tAGOz40,Two Copies,5,1,6,5,Female
R_1Nw84yNSKaljF9u,Two Copies,6,6,6,6,Male
R_1pFkTZ4H1tVZoWU,Two Copies,6,6,7,7,Male
R_1Uhy1EI3Dk5t32A,Two Copies,1,1,7,5,Female
R_1Zl4TkEbkeonuAs,Two Copies,4,2,3,3,Male
R_1zQgO51ufpVZDc8,Two Copies,1,7,4,7,Female
R_25zqG0wJw8LQTFW,Two Copies,7,5,2,3,Female
R_28UFWaiypRg4kev,Two Copies,5,5,5,4,Male
R_28XHoFecEjyPjec,Two Copies,6,6,6,6,Male
R_2AX7cexyWXU85q7,Two Copies,4,4,4,6,Female
R_2bs2JawJl38NLfu,Two Copies,6,1,3,2,Male
R_2c2s5cuWQacL9kx,Two Copies,6,3,6,7,Male
R_2fvqkzHaROlGRJG,Two Copies,1,1,1,1,Male
R_2fYJ9CqwXL7QmnW,Two Copies,5,7,6,1,Male
R_2gdmfYR2yDDWUIc,Two Copies,1,1,3,4,Female
R_2gGTBmmjwB20Sck,Two Copies,2,1,4,2,Female
R_2h5T3KscWOwm29e,Two Copies,4,6,2,5,Male
R_2mi5kiKYgk7jPUw,Two Copies,6,5,6,7,Female
R_2nHibKqKySEmN6c,Two Copies,1,2,5,5,Male
R_2rTNDMrjSpyFjjS,Two Copies,7,6,3,1,Male
R_2s1LdKWtbkGl3Bq,Two Copies,5,3,3,5,Female
R_2sFc3bHPDmxYmjO,Two Copies,2,1,4,2,Male
R_2tq7QvbkhaoYTqZ,Two Copies,3,4,4,5,Male
R_2ziIHXicZ4nBsyr,Two Copies,1,1,1,2,Male
R_3a659uSF8K7D5jK,Two Copies,5,2,1,4,Female
R_3CvnSHMjfzq5oS8,Two Copies,4,5,5,4,Female
R_3fNkxuZAhh8Vq7j,Two Copies,5,5,6,6,Male
R_3JWu2ZVKsQqXh9q,Two Copies,2,2,2,2,Female
R_3kb9TWToG3sgOHR,Two Copies,5,5,5,5,Female
R_3KH3sGYtRuHf7XS,Two Copies,4,6,5,6,Female
R_3KjDJng6StkX3PC,Two Copies,4,4,2,2,Female
R_3Klbtgw1zGpfcHO,Two Copies,4,6,6,7,Male
R_3n6eUXm0WZDZ8CE,Two Copies,3,3,2,3,Male
R_3n6XzsR3jxPIdrS,Two Copies,6,6,6,6,Male
R_3NVzhm7O5f1uW1K,Two Copies,4,2,1,5,Female
R_3Q9q8Qll7a75uS0,Two Copies,5,4,2,5,Male
R_3QMwbEjBOK9aigI,Two Copies,5,5,6,6,Male
R_3w9jbT0ZyqtksIt,Two Copies,6,4,4,6,Male
R_3Wc44owo7WY2iEt,Two Copies,3,3,3,4,Female
R_3WU3Gvk5EKT25rm,Two Copies,6,7,7,6,Male
R_3WU5kJSmNaCtYCU,Two Copies,1,1,1,6,Male
R_3x6e0edCZGA6Y0B,Two Copies,5,5,4,4,Male
R_3yhqfM2FB0v2q0t,Two Copies,3,3,2,5,Female
R_3z9guTKuVQMFORf,Two Copies,5,5,5,6,Female
R_41sALomLWkkFN2s,Two Copies,2,1,4,1,Male
R_42tphkEu4x0evAM,Two Copies,3,2,6,7,Male
R_4HhKJfzIMLYBFek,Two Copies,1,5,1,3,Male
R_4Jxh7fSf3QYzEZ6,Two Copies,4,4,4,5,Female
R_4Mc1wDPJHalgozG,Two Copies,3,7,5,6,Female
R_4OpzE19xVqXpT2k,Two Copies,7,3,2,5,Male
R_4Pbbo9bR2M4LNlO,Two Copies,7,7,1,3,Male
R_4Vld0A8x0hOL1Iw,Two Copies,4,6,2,2,Female
R_4Vo7DS01KywTmLi,Two Copies,4,1,2,4,Female
R_4YnUeoNBt5AUmt7,Two Copies,5,5,6,6,Male
R_51rVrxh9N6hGZPT,Two Copies,5,5,6,5,Female
R_54Py1QPUE3tMJSs,Two Copies,4,2,4,5,Male
R_56dZbHgTFROJAa0,Two Copies,6,3,7,2,Female
R_5atgiJqsyNouh6Y,Two Copies,3,2,3,4,Female
R_5AxhLeFtek2LbTK,Two Copies,1,5,4,1,Male
R_5Ba6HEAn6xLQ8rH,Two Copies,3,4,3,4,Female
R_5cJlXFXjStTyPOY,Two Copies,5,3,2,4,Female
R_5clVOIGeIMlRakI,Two Copies,4,2,5,3,Male
R_5dvYdJtUZpYz780,Two Copies,4,3,4,5,Male
R_5ijoYGma9XdKohm,Two Copies,5,2,2,4,Female
R_5in3YaGQPcy29dW,Two Copies,5,4,6,7,Male
R_5pD2PPwqofxAOSV,Two Copies,6,6,6,6,Male
R_5pvReSl7PFwluVm,Two Copies,4,5,3,4,Female
R_5v9cMnVSNtfcISh,Two Copies,6,6,6,6,Male
R_6EiITYy2faUNIzO,Two Copies,2,5,7,2,Male
R_6foi1138gUOuX76,Two Copies,5,4,2,7,Female
R_6gGRfAYFRzYcqMc,Two Copies,5,7,5,1,Female
R_6KioQHegEqkRJ3e,Two Copies,5,1,6,4,Male
R_6MuxNcPe2Uksuag,Two Copies,5,5,5,5,Male
R_6nWlLIlaQwguw9m,Two Copies,6,3,3,5,Female
R_6omvJyW3jLE6XpW,Two Copies,3,3,4,3,Female
R_6PPrefLfy1EZ5Ck,Two Copies,6,1,6,4,Female
R_6R1u3XbZLGDQhs8,Two Copies,5,5,4,5,Male
R_6sTDy7xkyxeQpV2,Two Copies,4,6,6,1,Female
R_6tkHjicwQeMW525,Two Copies,7,5,6,6,Male
R_6u0ITNZeqUgCMtf,Two Copies,3,1,2,5,Male
R_6XwwpD68dd7GaAQ,Two Copies,2,2,7,7,Female
R_6yAE12wMJCZ6wSw,Two Copies,4,4,1,3,Female
R_6yrLSKGiceS4GUs,Two Copies,5,3,6,2,Female
R_7881jQqtBoXPKWU,Two Copies,7,7,5,6,Female
R_7apl2uHlv9pMXju,Two Copies,6,3,2,5,Female
R_7OMfffYdAASWYT2,Two Copies,7,6,1,6,Female
R_7R1ixhByLi6B8gs,Two Copies,7,4,5,6,Female
R_7R1jXabiP1SnmSw,Two Copies,5,4,2,4,Male
R_7UjnvQvebX4Ox9i,Two Copies,1,3,5,5,Male
R_86C5wKQawMBfEm8,Two Copies,6,1,3,3,Female
R_86UWpGT8rqXO0de,Two Copies,2,2,6,3,Male
R_87CrXU5pePYzqK0,Two Copies,5,5,5,6,Male
R_87U3Y6sNiDcepTr,Two Copies,5,5,5,6,Female
R_8BWfi7lnlhH9uug,Two Copies,7,4,5,1,Male
R_8cc9oWXbjWE8eYB,Two Copies,5,5,3,4,Female
R_8czHA0g6sqNjCcs,Two Copies,5,7,1,3,Male
R_8k78Bw9dMEzw0K0,Two Copies,3,5,1,3,Male
R_8p1BYErEbjzw9pi,Two Copies,5,3,7,3,Male
R_8qWZnZQEg9LIK2M,Two Copies,5,5,1,1,Male
R_8vV6NUk7yVejgXy,Two Copies,7,1,1,7,Female
R_8w9pd8lWINuxbh3,Two Copies,2,3,3,4,Female
R_9B3skKI939LCsId,Two Copies,5,5,5,5,Male
R_9FV1u9elU8F9hZ2,Two Copies,2,6,1,4,Female
R_9FWLLn8yj6fTjCI,Two Copies,3,2,4,4,Male
R_9mEYbE5HY0cTGQc,Two Copies,5,6,4,1,Female
R_9mMeplwIL3FCxLK,Two Copies,1,5,5,5,Female
R_9sfY3sTvFzzdYYQ,Two Copies,5,7,2,5,Male
R_9sNtt9XAs9klfla,Two Copies,4,4,4,4,Male
R_9sQhSGPgfGwiA1m,Two Copies,6,6,6,7,Male
R_9tdHQw5IIEIfxLn,Two Copies,6,6,6,6,Female
R_9tUuTydiIxGCExn,Two Copies,4,4,4,4,Male
R_9vPTKmMRHwpHgxu,Two Copies,1,1,1,2,Male
R_9z64xucTqMjsB3S,Two Copies,1,2,7,5,Female
R_a2zThTVXD2RETJ2,Two Copies,5,3,2,5,Male
R_a4qz38Wngx2AGEs,Two Copies,4,7,6,2,Male
R_Aapyvh1pxHzh00V,Two Copies,3,3,5,6,Male
R_aaRQAompnOi3Q9v,Two Copies,4,4,4,4,Male
R_aeEIcYPsx1y13r6,Two Copies,1,7,7,3,Female
R_afc9ImJwzICX3sU,Two Copies,4,2,7,3,Male
R_ahDLwEZt9k2iyuU,Two Copies,7,3,4,2,Male
R_ahKsWblkpU5ZzHS,Two Copies,6,5,4,6,Male
R_ai46UUoGr2BpFDD,Two Copies,5,3,5,5,Male
R_aiaCN7lMepHsSMY,Two Copies,6,5,5,5,Female
R_aWwVmiP5iyyhzJa,Two Copies,3,4,6,7,Male
R_aYkEYFuns1DJNru,Two Copies,3,3,1,1,Male
R_b1wg5thSN89ldPu,Two Copies,1,2,4,3,Male
R_b78fZ2ZPiwxRHA8,Two Copies,4,4,4,4,Male
R_bBMO2ZKiEK0snpa,Two Copies,6,1,2,3,Female
R_bDc96QZ33BNgyLH,Two Copies,3,3,5,3,Female
R_bDFMGfxjT7tZDZG,Two Copies,2,1,3,2,Female
R_benXNJ6GzooUw3q,Two Copies,1,3,3,4,Female
R_bgxyYcpzGjn60CN,Two Copies,2,2,2,3,Male
R_bHoMJMUlXpz2er3,Two Copies,3,4,4,5,Female
R_bI2d3faCUdS884Y,Two Copies,5,5,3,5,Female
R_bjQgFIbcaD7Q7KA,Two Copies,7,6,7,5,Male
R_bkfbuzyllLcvq7i,Two Copies,2,7,1,4,Male
R_bKG4SvAcasqHrh2,Two Copies,3,3,6,7,Female
R_bKLWwQZbzYBhb0w,Two Copies,6,6,6,5,Male
R_bp99fd75s4ySNbD,Two Copies,5,6,6,6,Female
R_bqGLt1iXa1E0ahK,Two Copies,3,7,1,3,Male
R_bQJpgHHFBVI0KkR,Two Copies,3,3,3,4,Female
R_bqPsmiva7jppdac,Two Copies,1,7,2,2,Male
R_bqqpfkAGxce70H2,Two Copies,2,3,5,5,Female
R_bQvCfyO6pbuS3cx,Two Copies,5,4,5,4,Male
R_bypijaIAGXqOMEQ,Two Copies,1,4,7,5,Male
R_cBJJ1g6YpzK01xy,Two Copies,6,3,5,5,Female
R_cGi7bQ0dgywt8i0,Two Copies,5,4,4,5,Female
R_cGrV5h23BDxbwQA,Two Copies,6,6,6,6,Male
R_cI6sDvj2Ckn5kpK,Two Copies,6,1,2,7,Male
R_cIRKYzDXEbTQu5S,Two Copies,6,7,5,3,Female
R_cJeDegoPBFKxnRG,Two Copies,3,2,1,4,Female
R_cJjbbAZqxiyfU1e,Two Copies,5,3,3,7,Male
R_cMc4jDQPRwx6Pqs,Two Copies,1,5,6,1,Male
R_cMFpDd0zbh0bqvO,Two Copies,6,5,6,5,Male
R_cOtKK4plUfV5h6k,Two Copies,4,4,5,1,Female
R_cTJZ5t4EAAcx6XW,Two Copies,1,2,1,1,Male
R_d4Gfg4q7012z25K,Two Copies,5,3,6,3,Male
R_d5wCNwIhw4X2eZS,Two Copies,4,4,6,5,Female
R_d68YCuDAh3rCgpC,Two Copies,7,7,5,5,Male
R_daK7ESgt7LQROW8,Two Copies,2,3,3,4,Male
R_dhQMtWtVFp2gi9K,Two Copies,3,2,2,4,Female
R_dmayKZXoiu12RzT,Two Copies,7,7,7,7,Male
R_e3rLErE3YK7JF9W,Two Copies,3,3,1,6,Male
R_e8KoPxdo7FlqGBm,Two Copies,7,2,2,5,Female
R_e9YPXeYE1r0RVju,Two Copies,2,2,2,2,Female
R_ea3FOe36bJIxXO4,Two Copies,4,5,5,5,Female
R_ebV8dmftfVgk2X2,Two Copies,6,5,7,6,Male
R_eePniFBL9YWeHbu,Two Copies,6,4,3,4,Female
R_effHKdPymtHd0b2,Two Copies,2,2,1,3,Male
R_efmpkG8439uTy28,Two Copies,7,1,1,5,Female
R_eFp8xMelsLL0SuE,Two Copies,6,7,4,2,Male
R_eh8nC8y3TGbgkOU,Two Copies,3,4,1,6,Female
R_eKA3GvsusYiDtJi,Two Copies,7,6,6,6,Male
R_ensqGgJecMcqJlq,Two Copies,4,3,7,6,Female
R_es8yOKgseyWySBS,Two Copies,1,7,4,4,Male
R_etwrJifkNdgQn64,Two Copies,6,7,3,5,Female
R_eXKL9OQLmV3WI7O,Two Copies,1,4,3,3,Female
R_SWeo6MNlbw5kAQF,Two Copies,6,6,6,6,Male
R_yXd3DuWVHkbXztn,Two Copies,5,5,5,5,Male
R_00shOr5ynk68pDb,One Copy,4,5,2,3,Female
R_01jmTT7xjMCVn7v,One Copy,5,5,3,4,Male
R_01xgkkkIQSLOGva,One Copy,6,5,6,5,Female
R_0697LIn0v1eTKOU,One Copy,6,3,4,4,Male
R_07zZALqoY1Ja7m4,One Copy,1,7,3,3,Female
R_0BuHpif1KAcwLK5,One Copy,6,6,6,6,Male
R_0ca8k06NB4lCsRK,One Copy,1,2,2,1,Female
R_0cAmLWyKzMNhOEA,One Copy,6,6,6,6,Female
R_0CktlOzYlj4xOks,One Copy,4,4,5,5,Female
R_0DikxpsC5IaJ0k4,One Copy,6,3,3,4,Female
R_0DKhisd6T7FBopu,One Copy,7,2,2,1,Female
R_0feRSJeV01OeQhD,One Copy,5,5,5,5,Female
R_0iedyzfNUvLOTFX,One Copy,2,2,2,2,Female
R_0JMZA6TWRFW4sMA,One Copy,5,6,3,7,Male
R_0kR3EF6KwhDle17,One Copy,5,6,6,6,Male
R_0N8N031wgrK7PQE,One Copy,3,2,4,5,Female
R_0NWteCevjVCr0ah,One Copy,6,6,6,7,Male
R_0vbS9w0okdZ7w5C,One Copy,4,4,1,2,Female
R_0vRiUbxMgaaGNx2,One Copy,5,5,4,3,Male
R_0wEV7M7WiIcBKew,One Copy,5,7,2,2,Male
R_11YG92ZjmztMUkU,One Copy,6,6,6,6,Male
R_1Aps4hOLxvpP73C,One Copy,6,6,5,6,Male
R_1ETyiDY5z4xRwWw,One Copy,7,3,3,7,Male
R_1FvsIEOzqLaR7Ug,One Copy,4,2,2,3,Female
R_1I8XogZqbzTbiSN,One Copy,6,4,5,6,Male
R_1Ie7y5fF3ecivQw,One Copy,3,4,4,5,Male
R_1KZoZjFNCMZR1vC,One Copy,4,1,7,3,Male
R_1LvPsEjOrJqkJGW,One Copy,5,5,6,7,Female
R_1MqfIcbcrSUgjJj,One Copy,2,3,3,4,Female
R_1NBpQ55hZf8yW6E,One Copy,5,5,2,5,Male
R_1RY0uOVLeiaLsag,One Copy,7,5,5,3,Female
R_1S014RcdNrP4Bs8,One Copy,1,1,3,4,Male
R_1SbJhxUUC9YLMod,One Copy,5,3,2,4,Male
R_1TcKQmKGTiUsPl3,One Copy,5,2,3,7,Female
R_1XkyGuZ3HFyeo8B,One Copy,4,5,5,6,Male
R_1YSJ8x7rRa5BTX6,One Copy,1,2,6,6,Male
R_1yUDSd6bey3gBpP,One Copy,2,2,2,2,Male
R_23JwVddG6Ufm1NO,One Copy,3,4,1,1,Male
R_296zCQVqKkRrU20,One Copy,3,1,7,3,Female
R_2gmoHnTKIlGc2he,One Copy,4,3,4,4,Male
R_2hrP2XhDVJDLdiI,One Copy,4,5,1,3,Female
R_2mfRUNjSAGIIUMQ,One Copy,5,5,4,5,Female
R_2rctgCq880ao3AM,One Copy,3,7,2,1,Male
R_2ukH7YMw5oPeGOg,One Copy,2,5,1,7,Female
R_2uzeoPTAtunv6Sx,One Copy,6,6,6,6,Female
R_37CH5BEpx5Lr3HS,One Copy,6,6,6,6,Female
R_37X2XTs2nCAzABC,One Copy,4,4,6,1,Male
R_3arW6tlq8JgdhiY,One Copy,1,6,6,1,Female
R_3CamL70fPeY0iq0,One Copy,2,3,1,1,Female
R_3CS6bxWFMr6lwXO,One Copy,4,5,3,2,Female
R_3CYI0nAtc6FHACo,One Copy,2,5,6,1,Male
R_3fUqPHHHjzEs5Gk,One Copy,1,1,1,1,Female
R_3G1fotclhGPaK1C,One Copy,6,6,4,4,Male
R_3JEalyK0VoyAYrq,One Copy,4,6,6,6,Male
R_3lPoRnKRvuZYj4w,One Copy,7,4,3,7,Female
R_3lPxe1SZSM0BOxS,One Copy,7,1,3,2,Male
R_3mZCJQjOUEO7E9u,One Copy,6,4,2,1,Female
R_3POBTF8DhKdGDnC,One Copy,5,4,5,7,Female
R_3qLcTz0tQ2M2FkE,One Copy,7,5,3,4,Female
R_3rAOWgx90EeODe4,One Copy,6,6,3,3,Female
R_3w9toCXJa3zIQDy,One Copy,2,3,5,5,Female
R_3wHZSm5lVuVtGDi,One Copy,4,4,4,4,Male
R_3yM8XYJ9qPXXYCU,One Copy,3,1,5,7,Female
R_3yoKmCAUUYKCxWA,One Copy,3,4,3,3,Female
R_42WlGRd7xgv9PDK,One Copy,3,6,1,2,Male
R_43dXApyjHplfPDf,One Copy,5,5,5,5,Male
R_4IqcgKm8gDlJ4rO,One Copy,5,3,2,5,Female
R_4IWdP2zfqCPIgXW,One Copy,1,1,5,5,Female
R_4N1eJ2EHxHlh4zy,One Copy,6,3,7,4,Female
R_4N5JmUvPzTptRCR,One Copy,4,4,5,7,Male
R_4Ou5iuxTr0ICLOI,One Copy,4,4,1,7,Female
R_4PxR4KkUpODdxQ1,One Copy,3,6,4,4,Female
R_4TKEomOlnr8Kz5y,One Copy,6,1,4,7,Male
R_4UDhYwPZ0Im07vD,One Copy,5,6,6,5,Male
R_4YJOfkPDXXA9Xxi,One Copy,4,3,3,7,Female
R_50ZEU9bVUZ85YvG,One Copy,3,3,3,4,Male
R_5AZ0WkTFIQWtcl7,One Copy,5,5,4,5,Male
R_5jBE9JdkLvyC340,One Copy,7,3,4,3,Female
R_5nYuxgEAc8DGePy,One Copy,4,2,7,4,Male
R_5pWbUAauMS5J2sd,One Copy,7,5,4,5,Male
R_6D1v4cEfE0kvbk8,One Copy,3,5,4,5,Male
R_6DSqc0IaUy1tbnK,One Copy,3,4,7,1,Female
R_6hzpsBZCdGqLuhm,One Copy,7,6,2,5,Female
R_6mRrZE4gknWhLg0,One Copy,6,2,6,7,Female
R_6PcVKA3lSH13EeU,One Copy,7,2,1,1,Female
R_6rPLnR2pHno2nvS,One Copy,5,3,3,4,Male
R_6rqRONRVhfmzDFy,One Copy,5,1,1,7,Male
R_6uqF8kCGC4U0GYA,One Copy,5,5,5,5,Female
R_6XzKpA665fQmAug,One Copy,2,2,2,2,Female
R_6ycS5odnR006Gri,One Copy,7,6,1,6,Male
R_72hXBKHNvzMWExC,One Copy,2,5,3,4,Female
R_72qOloSOqV0dRJy,One Copy,2,1,6,1,Female
R_73ged263OLctDGk,One Copy,3,5,4,5,Male
R_73ZMWPmy2h8QQ3a,One Copy,2,7,1,6,Male
R_77nZbtVyzS2HUix,One Copy,4,6,6,6,Female
R_7Nv6DTobIFxbwq0,One Copy,5,5,4,5,Male
R_7O0p3VbXEu8eewc,One Copy,6,1,1,6,Male
R_7OJRLrKFbhnjJGc,One Copy,6,6,6,5,Female
R_7TAJMNRKK6bDldy,One Copy,5,3,3,6,Female
R_7WoW1SoIDBO5eiU,One Copy,2,2,5,2,Male
R_80NJo4dfSYj6Pch,One Copy,2,2,3,5,Female
R_82I6tZqdCtr24YY,One Copy,5,4,6,6,Female
R_82ZS1o7dCNJgD8o,One Copy,4,5,7,7,Male
R_864pEGdww7M0zSk,One Copy,1,2,5,1,Female
R_8AeoAiw2eksFgFK,One Copy,1,7,1,6,Male
R_8bP1yTK4kUFzPmY,One Copy,1,7,6,2,Female
R_8BwOJLUSAPzzwkl,One Copy,3,3,3,4,Male
R_8cEvjprnBvDJtLm,One Copy,1,6,7,6,Female
R_8HVQCZnd2uFIpJq,One Copy,1,1,1,1,Female
R_8Hy9Cb5Vnq0CByQ,One Copy,4,3,5,1,Male
R_8Iawm4HmGj0XDko,One Copy,2,1,7,7,Male
R_8nVDoKVb7gBiOgI,One Copy,2,5,3,7,Male
R_8omlNoSDGvunfCs,One Copy,7,5,5,5,Male
R_8q47H06tpUflsmo,One Copy,2,4,2,3,Male
R_8qsGIdknNuuA0te,One Copy,3,4,2,2,Male
R_8uzt38klCP7UjC4,One Copy,5,1,7,7,Female
R_8wDJh0lkbDTts1L,One Copy,2,2,3,2,Female
R_9EvbwGpJKBaeWCU,One Copy,6,6,6,6,Male
R_9FSbiuC1Zo2Xoig,One Copy,2,1,3,5,Male
R_9GLZdJ1FpEKnAyM,One Copy,5,3,3,4,Female
R_9n2o0D3kLUdpuU4,One Copy,2,2,2,2,Male
R_9npEe2SHfDnTDO4,One Copy,6,3,3,5,Female
R_9oiaEAYMC0VceJ6,One Copy,7,5,7,3,Male
R_9RAidwpegHh9k4A,One Copy,4,1,2,2,Female
R_9SvxMGJvaObEPZi,One Copy,1,3,3,3,Male
R_9t3xWre1wjB2epK,One Copy,1,5,1,6,Male
R_9tcx8JJTEOiuC7q,One Copy,1,3,3,1,Female
R_9TyQtEh7ltw9Gug,One Copy,7,6,5,2,Male
R_9WTDvpVqUsgzN2I,One Copy,6,4,2,7,Female
R_a4O2KplHp7lwOfW,One Copy,3,5,7,6,Male
R_a5ZwFXksXn5QYnj,One Copy,5,5,5,4,Female
R_a8XWbPLnAaIJlkg,One Copy,3,4,6,5,Female
R_aa6WhCKadXkZpKk,One Copy,4,1,5,4,Male
R_aaEHETtCagfoxUg,One Copy,1,4,2,7,Male
R_abcaREsors2q7ha,One Copy,2,4,5,5,Male
R_agSWwgeTwJ8e0AY,One Copy,6,5,6,6,Female
R_agUnQNNh5OjC6ih,One Copy,4,3,2,2,Female
R_aWZhjPYJUXZYtGA,One Copy,7,5,4,3,Male
R_b1qcURpsFldItq4,One Copy,3,4,1,7,Male
R_b2cY0NzFIzv1LgM,One Copy,6,1,7,5,Male
R_b2YOWuonLG4e7wE,One Copy,5,5,2,6,Male
R_b33nLFYfnAjGCDG,One Copy,6,1,4,1,Male
R_b4bb64GsWam8Ura,One Copy,3,2,6,2,Female
R_b4t5CNeeAFDDr5q,One Copy,2,2,2,5,Male
R_b7upeOqYPAdKGDq,One Copy,7,1,1,4,Male
R_b9MNBnCDKsRTg7r,One Copy,2,2,2,2,Female
R_bBd2ZmvtzT7jwhe,One Copy,5,5,6,5,Female
R_bC2c2hEBU4LOLvS,One Copy,3,5,4,7,Male
R_bDca6fEuQcM1PDK,One Copy,5,5,4,5,Male
R_bdQjcQQQa99zOde,One Copy,5,5,4,3,Male
R_bEPrwUFSvtz1rKc,One Copy,4,6,5,5,Male
R_bfoVhdh2rnuNKEQ,One Copy,2,5,5,1,Female
R_bIRsB5tuorroKRD,One Copy,6,6,5,3,Female
R_bIXf28pcEV2dOPG,One Copy,3,3,4,4,Male
R_bkNESDBgRKJApWQ,One Copy,2,5,2,5,Female
R_bmdLb0K9k6EuTFb,One Copy,7,7,7,7,Male
R_bNqqCmO9uMI234w,One Copy,2,1,5,1,Female
R_bO9ruIw7UGZGPpW,One Copy,5,6,2,7,Male
R_bOfI9tKcGtWCllq,One Copy,2,3,5,1,Male
R_bqMa6APWsrvhYMY,One Copy,3,5,7,6,Female
R_bvdxi8fSt73IzDn,One Copy,6,6,6,3,Male
R_bvyt3MkXTzMaxBr,One Copy,6,6,6,6,Male
R_bwuPwCMtUTW93Sd,One Copy,3,3,5,5,Female
R_cBZl7DkywyyRuhT,One Copy,5,5,6,5,Male
R_cLMBgvRBr7sSYTy,One Copy,5,1,3,5,Male
R_cUC2VOpspynW6S8,One Copy,3,4,2,2,Female
R_cw2dSOVaBEhgFr7,One Copy,5,5,3,4,Male
R_d43kXUkQTamYRx2,One Copy,2,5,2,1,Female
R_dcbFUgdNGDO1j1i,One Copy,3,6,4,4,Female
R_dcFCKHZ1rXbrvUg,One Copy,3,5,6,2,Female
R_dhg8tkSSuNIFMy0,One Copy,5,6,5,6,Female
R_di0SO8XXi3OkJFi,One Copy,3,5,3,4,Male
R_dik9aoxpdK7g27G,One Copy,5,6,7,6,Male
R_dirysXfzvM7A6Og,One Copy,5,3,3,4,Male
R_djaClVSfpj6Fdha,One Copy,6,2,2,7,Female
R_dnbglo9zw0NOvT6,One Copy,1,7,2,6,Male
R_dnUjBDIAaRmNaBL,One Copy,3,2,2,2,Female
R_dpbKDRRablVRmD2,One Copy,6,5,5,6,Male
R_e377eWn5mlEdloU,One Copy,5,2,4,3,Male
R_e5lRAhXoQat0256,One Copy,4,6,4,5,Female
R_e5xVxJ9n835jweo,One Copy,6,7,6,2,Male
R_efDLgMluYVvWCy0,One Copy,2,6,3,3,Female
R_eG8lQP4u8r1JZYg,One Copy,7,2,1,3,Female
R_egETpWIt4JMnj2l,One Copy,5,5,5,5,Female
R_egji8eYBcok0bVq,One Copy,4,6,7,7,Male
R_eh2WOxqk8S5AEsc,One Copy,6,3,6,4,Male
R_ehOUE2JjMmz3mf2,One Copy,2,5,7,3,Male
R_eJNwDrAmvbrcrkN,One Copy,5,3,3,3,Female
R_ektWD3ok8gBhZS4,One Copy,4,3,3,1,Male
R_eLJpDG4OOamV6Zu,One Copy,3,2,1,6,Female
R_eLt2vYYnxEKY1Tf,One Copy,5,5,4,5,Male
R_empdWWrTcZws7A0,One Copy,4,6,1,4,Male
R_eOISVie32isGN3C,One Copy,1,2,4,3,Female
R_eOQPwIHAVxc4sDO,One Copy,4,5,6,4,Male
R_eqwEmtU8CsnXBnm,One Copy,7,3,5,7,Female
R_eROCK0mlSeq0tmI,One Copy,7,3,6,6,Male
R_esoEwHKL6YL9HNy,One Copy,2,4,1,5,Male
R_etVpVjPy1xyyqOw,One Copy,7,7,6,1,Female
R_eVvpEMxxYCxhnKs,One Copy,3,3,4,4,Female
R_eYbQUEuJGE3uYYs,One Copy,3,7,4,1,Female
R_eYc0vsciex028eg,One Copy,3,1,2,2,Female
R_eyUwWAcPDum8npr,One Copy,6,6,6,6,Female
R_NWt3I6NuFlvqeu5,One Copy,4,3,4,4,Female
R_Og2YeCNXlOPnGUh,One Copy,5,5,5,6,Male
