V1,Switch_From,Switch_To
R_00Rhf3e36LIYmAl,from Apple iPad,to Apple iPad
R_00Rhf3e36LIYmAl,from Samsung- Galaxy Tab,to Motorola- Xoom
R_00Rhf3e36LIYmAl,from Lenovo- IdeaPad,to Asus- EeePad
R_00Rhf3e36LIYmAl,from Asus- EeePad,to Lenovo- IdeaPad
R_00Rhf3e36LIYmAl,from Motorola- Xoom,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Apple iPad,to Apple iPad
R_01lChz3ar0G3hTD,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Asus- EeePad,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Motorola- Xoom,to Apple iPad
R_01V1GavJnNwOD7D,from Apple iPad,to Samsung- Galaxy Tab
R_01V1GavJnNwOD7D,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_01V1GavJnNwOD7D,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_01V1GavJnNwOD7D,from Asus- EeePad,to Lenovo- IdeaPad
R_01V1GavJnNwOD7D,from Motorola- Xoom,to Samsung- Galaxy Tab
R_02Elr3dQ9os7hkx,from Apple iPad,to Apple iPad
R_02Elr3dQ9os7hkx,from Samsung- Galaxy Tab,to Apple iPad
R_02Elr3dQ9os7hkx,from Lenovo- IdeaPad,to Asus- EeePad
R_02Elr3dQ9os7hkx,from Asus- EeePad,to Lenovo- IdeaPad
R_02Elr3dQ9os7hkx,from Motorola- Xoom,to Lenovo- IdeaPad
R_02q4zch8BuN5XMN,from Apple iPad,to Apple iPad
R_02q4zch8BuN5XMN,from Samsung- Galaxy Tab,to Apple iPad
R_02q4zch8BuN5XMN,from Lenovo- IdeaPad,to Asus- EeePad
R_02q4zch8BuN5XMN,from Asus- EeePad,to Lenovo- IdeaPad
R_02q4zch8BuN5XMN,from Motorola- Xoom,to Asus- EeePad
R_02QdKmGc6fZkwRv,from Apple iPad,to Apple iPad
R_02QdKmGc6fZkwRv,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_02QdKmGc6fZkwRv,from Lenovo- IdeaPad,to Lenovo- IdeaPad
R_02QdKmGc6fZkwRv,from Asus- EeePad,to Lenovo- IdeaPad
R_02QdKmGc6fZkwRv,from Motorola- Xoom,to Motorola- Xoom
R_02tUwAWjkE1T6NT,from Apple iPad,to Apple iPad
R_02tUwAWjkE1T6NT,from Samsung- Galaxy Tab,to Apple iPad
R_02tUwAWjkE1T6NT,from Lenovo- IdeaPad,to Apple iPad
R_02tUwAWjkE1T6NT,from Asus- EeePad,to Apple iPad
R_02tUwAWjkE1T6NT,from Motorola- Xoom,to Apple iPad
R_09Fmd1T4LrvWoXr,from Apple iPad,to Lenovo- IdeaPad
R_09Fmd1T4LrvWoXr,from Samsung- Galaxy Tab,to Apple iPad
R_09Fmd1T4LrvWoXr,from Lenovo- IdeaPad,to Apple iPad
R_09Fmd1T4LrvWoXr,from Asus- EeePad,to Lenovo- IdeaPad
R_09Fmd1T4LrvWoXr,from Motorola- Xoom,to Lenovo- IdeaPad
R_0chsaJXp5daSdgx,from Apple iPad,to Samsung- Galaxy Tab
R_0chsaJXp5daSdgx,from Samsung- Galaxy Tab,to Apple iPad
R_0chsaJXp5daSdgx,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_0chsaJXp5daSdgx,from Asus- EeePad,to Samsung- Galaxy Tab
R_0chsaJXp5daSdgx,from Motorola- Xoom,to Samsung- Galaxy Tab
R_0CUuFmObEZDUdDf,from Apple iPad,to Apple iPad
R_0CUuFmObEZDUdDf,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_0CUuFmObEZDUdDf,from Lenovo- IdeaPad,to Asus- EeePad
R_0CUuFmObEZDUdDf,from Asus- EeePad,to Lenovo- IdeaPad
R_0CUuFmObEZDUdDf,from Motorola- Xoom,to Lenovo- IdeaPad
R_0HfQYAfzJaRWnaZ,from Apple iPad,to Samsung- Galaxy Tab
R_0HfQYAfzJaRWnaZ,from Samsung- Galaxy Tab,to Apple iPad
R_0HfQYAfzJaRWnaZ,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_0HfQYAfzJaRWnaZ,from Asus- EeePad,to Samsung- Galaxy Tab
R_0HfQYAfzJaRWnaZ,from Motorola- Xoom,to Samsung- Galaxy Tab
R_0ig96KwpCFiv0VL,from Apple iPad,to Asus- EeePad
R_0ig96KwpCFiv0VL,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_0ig96KwpCFiv0VL,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_0ig96KwpCFiv0VL,from Asus- EeePad,to Asus- EeePad
R_0ig96KwpCFiv0VL,from Motorola- Xoom,to Lenovo- IdeaPad
R_0IXq5TsvfMKJNat,from Apple iPad,to Apple iPad
R_0IXq5TsvfMKJNat,from Samsung- Galaxy Tab,to Apple iPad
R_0IXq5TsvfMKJNat,from Lenovo- IdeaPad,to Apple iPad
R_0IXq5TsvfMKJNat,from Asus- EeePad,to Samsung- Galaxy Tab
R_0IXq5TsvfMKJNat,from Motorola- Xoom,to Samsung- Galaxy Tab
R_0iZFRs2dW5IjZHv,from Apple iPad,to Apple iPad
R_0iZFRs2dW5IjZHv,from Samsung- Galaxy Tab,to Apple iPad
R_0iZFRs2dW5IjZHv,from Lenovo- IdeaPad,to Asus- EeePad
R_0iZFRs2dW5IjZHv,from Asus- EeePad,to Samsung- Galaxy Tab
R_0iZFRs2dW5IjZHv,from Motorola- Xoom,to Asus- EeePad
R_0kz6Zuk6qYyHLYp,from Apple iPad,to Apple iPad
R_0kz6Zuk6qYyHLYp,from Samsung- Galaxy Tab,to Apple iPad
R_0kz6Zuk6qYyHLYp,from Lenovo- IdeaPad,to Motorola- Xoom
R_0kz6Zuk6qYyHLYp,from Asus- EeePad,to Motorola- Xoom
R_0kz6Zuk6qYyHLYp,from Motorola- Xoom,to Asus- EeePad
R_0MR5pvwwKFBy1et,from Apple iPad,to Samsung- Galaxy Tab
R_0MR5pvwwKFBy1et,from Samsung- Galaxy Tab,to Apple iPad
R_0MR5pvwwKFBy1et,from Lenovo- IdeaPad,to Asus- EeePad
R_0MR5pvwwKFBy1et,from Asus- EeePad,to Lenovo- IdeaPad
R_0MR5pvwwKFBy1et,from Motorola- Xoom,to Apple iPad
R_0PMxJqYvmu7ylgN,from Apple iPad,to Samsung- Galaxy Tab
R_0PMxJqYvmu7ylgN,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_0PMxJqYvmu7ylgN,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_0PMxJqYvmu7ylgN,from Asus- EeePad,to Lenovo- IdeaPad
R_0PMxJqYvmu7ylgN,from Motorola- Xoom,to Samsung- Galaxy Tab
R_0pucKZ4fFH4DstD,from Apple iPad,to Apple iPad
R_0pucKZ4fFH4DstD,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_0pucKZ4fFH4DstD,from Lenovo- IdeaPad,to Apple iPad
R_0pucKZ4fFH4DstD,from Asus- EeePad,to Apple iPad
R_0pucKZ4fFH4DstD,from Motorola- Xoom,to Apple iPad
R_0TAoldiX4WnbgUt,from Apple iPad,to Apple iPad
R_0TAoldiX4WnbgUt,from Samsung- Galaxy Tab,to Apple iPad
R_0TAoldiX4WnbgUt,from Lenovo- IdeaPad,to Asus- EeePad
R_0TAoldiX4WnbgUt,from Asus- EeePad,to Lenovo- IdeaPad
R_0TAoldiX4WnbgUt,from Motorola- Xoom,to Samsung- Galaxy Tab
R_0TxavA3zSBH1Hil,from Apple iPad,to Samsung- Galaxy Tab
R_0TxavA3zSBH1Hil,from Samsung- Galaxy Tab,to Apple iPad
R_0TxavA3zSBH1Hil,from Lenovo- IdeaPad,to Apple iPad
R_0TxavA3zSBH1Hil,from Asus- EeePad,to Apple iPad
R_0TxavA3zSBH1Hil,from Motorola- Xoom,to Apple iPad
R_0ujt5D20w44HhhX,from Apple iPad,to Apple iPad
R_0ujt5D20w44HhhX,from Samsung- Galaxy Tab,to Apple iPad
R_0ujt5D20w44HhhX,from Lenovo- IdeaPad,to Motorola- Xoom
R_0ujt5D20w44HhhX,from Asus- EeePad,to Lenovo- IdeaPad
R_0ujt5D20w44HhhX,from Motorola- Xoom,to Apple iPad
R_0ulnsEre2enfSjr,from Apple iPad,to Apple iPad
R_0ulnsEre2enfSjr,from Samsung- Galaxy Tab,to Motorola- Xoom
R_0ulnsEre2enfSjr,from Lenovo- IdeaPad,to Motorola- Xoom
R_0ulnsEre2enfSjr,from Asus- EeePad,to Motorola- Xoom
R_0ulnsEre2enfSjr,from Motorola- Xoom,to Asus- EeePad
R_0xpy2qXAawWV6zr,from Apple iPad,to Apple iPad
R_0xpy2qXAawWV6zr,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_0xpy2qXAawWV6zr,from Lenovo- IdeaPad,to Asus- EeePad
R_0xpy2qXAawWV6zr,from Asus- EeePad,to Asus- EeePad
R_0xpy2qXAawWV6zr,from Motorola- Xoom,to Lenovo- IdeaPad
R_1A24YtUQsgBiIU5,from Apple iPad,to Apple iPad
R_1A24YtUQsgBiIU5,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_1A24YtUQsgBiIU5,from Lenovo- IdeaPad,to Lenovo- IdeaPad
R_1A24YtUQsgBiIU5,from Asus- EeePad,to Asus- EeePad
R_1A24YtUQsgBiIU5,from Motorola- Xoom,to Motorola- Xoom
R_1CHI2iUeDEo8MZk,from Apple iPad,to Apple iPad
R_1CHI2iUeDEo8MZk,from Samsung- Galaxy Tab,to Apple iPad
R_1CHI2iUeDEo8MZk,from Lenovo- IdeaPad,to Asus- EeePad
R_1CHI2iUeDEo8MZk,from Asus- EeePad,to Lenovo- IdeaPad
R_1CHI2iUeDEo8MZk,from Motorola- Xoom,to Samsung- Galaxy Tab
R_1eXg2ABQcaPcdP0,from Apple iPad,to Apple iPad
R_1eXg2ABQcaPcdP0,from Samsung- Galaxy Tab,to Asus- EeePad
R_1eXg2ABQcaPcdP0,from Lenovo- IdeaPad,to Motorola- Xoom
R_1eXg2ABQcaPcdP0,from Asus- EeePad,to Motorola- Xoom
R_1eXg2ABQcaPcdP0,from Motorola- Xoom,to Apple iPad
R_1FyLbiuTwWBfZgV,from Apple iPad,to Apple iPad
R_1FyLbiuTwWBfZgV,from Samsung- Galaxy Tab,to Apple iPad
R_1FyLbiuTwWBfZgV,from Lenovo- IdeaPad,to Asus- EeePad
R_1FyLbiuTwWBfZgV,from Asus- EeePad,to Motorola- Xoom
R_1FyLbiuTwWBfZgV,from Motorola- Xoom,to Samsung- Galaxy Tab
R_1fZrzrm4xGrXUaH,from Apple iPad,to Apple iPad
R_1fZrzrm4xGrXUaH,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_1fZrzrm4xGrXUaH,from Lenovo- IdeaPad,to Motorola- Xoom
R_1fZrzrm4xGrXUaH,from Asus- EeePad,to Motorola- Xoom
R_1fZrzrm4xGrXUaH,from Motorola- Xoom,to Samsung- Galaxy Tab
R_1gBFCrhjnzVN5HH,from Apple iPad,to Apple iPad
R_1gBFCrhjnzVN5HH,from Samsung- Galaxy Tab,to Apple iPad
R_1gBFCrhjnzVN5HH,from Lenovo- IdeaPad,to Asus- EeePad
R_1gBFCrhjnzVN5HH,from Asus- EeePad,to Lenovo- IdeaPad
R_1gBFCrhjnzVN5HH,from Motorola- Xoom,to Asus- EeePad
R_1GNMiDwaCDEJcxv,from Apple iPad,to Apple iPad
R_1GNMiDwaCDEJcxv,from Samsung- Galaxy Tab,to Apple iPad
R_1GNMiDwaCDEJcxv,from Lenovo- IdeaPad,to Asus- EeePad
R_1GNMiDwaCDEJcxv,from Asus- EeePad,to Lenovo- IdeaPad
R_1GNMiDwaCDEJcxv,from Motorola- Xoom,to Motorola- Xoom
R_1HbI1wGJePqnvy7,from Apple iPad,to Apple iPad
R_1HbI1wGJePqnvy7,from Samsung- Galaxy Tab,to Motorola- Xoom
R_1HbI1wGJePqnvy7,from Lenovo- IdeaPad,to Asus- EeePad
R_1HbI1wGJePqnvy7,from Asus- EeePad,to Lenovo- IdeaPad
R_1HbI1wGJePqnvy7,from Motorola- Xoom,to Samsung- Galaxy Tab
R_1K91DIvEGo9psoq,from Apple iPad,to Apple iPad
R_1K91DIvEGo9psoq,from Samsung- Galaxy Tab,to Apple iPad
R_1K91DIvEGo9psoq,from Lenovo- IdeaPad,to Apple iPad
R_1K91DIvEGo9psoq,from Asus- EeePad,to Apple iPad
R_1K91DIvEGo9psoq,from Motorola- Xoom,to Apple iPad
R_1LEdVDLOKZc0BbD,from Apple iPad,to Apple iPad
R_1LEdVDLOKZc0BbD,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_1LEdVDLOKZc0BbD,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_1LEdVDLOKZc0BbD,from Asus- EeePad,to Lenovo- IdeaPad
R_1LEdVDLOKZc0BbD,from Motorola- Xoom,to Asus- EeePad
R_1LzGVUywUOjgb8C,from Apple iPad,to Apple iPad
R_1LzGVUywUOjgb8C,from Samsung- Galaxy Tab,to Apple iPad
R_1LzGVUywUOjgb8C,from Lenovo- IdeaPad,to Apple iPad
R_1LzGVUywUOjgb8C,from Asus- EeePad,to Apple iPad
R_1LzGVUywUOjgb8C,from Motorola- Xoom,to Apple iPad
R_1O24hHW9Vrtht09,from Apple iPad,to Apple iPad
R_1O24hHW9Vrtht09,from Samsung- Galaxy Tab,to Apple iPad
R_1O24hHW9Vrtht09,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_1O24hHW9Vrtht09,from Asus- EeePad,to Lenovo- IdeaPad
R_1O24hHW9Vrtht09,from Motorola- Xoom,to Asus- EeePad
R_1PRhSU64tWAkkXK,from Apple iPad,to Apple iPad
R_1PRhSU64tWAkkXK,from Samsung- Galaxy Tab,to Asus- EeePad
R_1PRhSU64tWAkkXK,from Lenovo- IdeaPad,to Motorola- Xoom
R_1PRhSU64tWAkkXK,from Asus- EeePad,to Samsung- Galaxy Tab
R_1PRhSU64tWAkkXK,from Motorola- Xoom,to Lenovo- IdeaPad
R_1QX4HIkfayKQ5Nj,from Apple iPad,to Samsung- Galaxy Tab
R_1QX4HIkfayKQ5Nj,from Samsung- Galaxy Tab,to Apple iPad
R_1QX4HIkfayKQ5Nj,from Lenovo- IdeaPad,to Motorola- Xoom
R_1QX4HIkfayKQ5Nj,from Asus- EeePad,to Lenovo- IdeaPad
R_1QX4HIkfayKQ5Nj,from Motorola- Xoom,to Asus- EeePad
R_20nGFVCdmz6LXwh,from Apple iPad,to Apple iPad
R_20nGFVCdmz6LXwh,from Samsung- Galaxy Tab,to Apple iPad
R_20nGFVCdmz6LXwh,from Lenovo- IdeaPad,to Motorola- Xoom
R_20nGFVCdmz6LXwh,from Asus- EeePad,to Lenovo- IdeaPad
R_20nGFVCdmz6LXwh,from Motorola- Xoom,to Asus- EeePad
R_20PaAzpjYL01zI7,from Apple iPad,to Apple iPad
R_20PaAzpjYL01zI7,from Samsung- Galaxy Tab,to Motorola- Xoom
R_20PaAzpjYL01zI7,from Lenovo- IdeaPad,to Asus- EeePad
R_20PaAzpjYL01zI7,from Asus- EeePad,to Lenovo- IdeaPad
R_20PaAzpjYL01zI7,from Motorola- Xoom,to Samsung- Galaxy Tab
R_296IjjX0VQKoKmp,from Apple iPad,to Apple iPad
R_296IjjX0VQKoKmp,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_296IjjX0VQKoKmp,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_296IjjX0VQKoKmp,from Asus- EeePad,to Motorola- Xoom
R_296IjjX0VQKoKmp,from Motorola- Xoom,to Asus- EeePad
R_2aA5AZn7qwoowUR,from Apple iPad,to Apple iPad
R_2aA5AZn7qwoowUR,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_2aA5AZn7qwoowUR,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_2aA5AZn7qwoowUR,from Asus- EeePad,to Lenovo- IdeaPad
R_2aA5AZn7qwoowUR,from Motorola- Xoom,to Asus- EeePad
R_2D5fqNqN8jvVgcx,from Apple iPad,to Apple iPad
R_2D5fqNqN8jvVgcx,from Samsung- Galaxy Tab,to Apple iPad
R_2D5fqNqN8jvVgcx,from Lenovo- IdeaPad,to Asus- EeePad
R_2D5fqNqN8jvVgcx,from Asus- EeePad,to Lenovo- IdeaPad
R_2D5fqNqN8jvVgcx,from Motorola- Xoom,to Asus- EeePad
R_2f9evSjkMFJ7GWp,from Apple iPad,to Apple iPad
R_2f9evSjkMFJ7GWp,from Samsung- Galaxy Tab,to Apple iPad
R_2f9evSjkMFJ7GWp,from Lenovo- IdeaPad,to Asus- EeePad
R_2f9evSjkMFJ7GWp,from Asus- EeePad,to Lenovo- IdeaPad
R_2f9evSjkMFJ7GWp,from Motorola- Xoom,to Asus- EeePad
R_2fOFSB6u0AwJOK1,from Apple iPad,to Samsung- Galaxy Tab
R_2fOFSB6u0AwJOK1,from Samsung- Galaxy Tab,to Apple iPad
R_2fOFSB6u0AwJOK1,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_2fOFSB6u0AwJOK1,from Asus- EeePad,to Samsung- Galaxy Tab
R_2fOFSB6u0AwJOK1,from Motorola- Xoom,to Samsung- Galaxy Tab
R_2fURvorgLwZQjAh,from Apple iPad,to Samsung- Galaxy Tab
R_2fURvorgLwZQjAh,from Samsung- Galaxy Tab,to Apple iPad
R_2fURvorgLwZQjAh,from Lenovo- IdeaPad,to Motorola- Xoom
R_2fURvorgLwZQjAh,from Asus- EeePad,to Lenovo- IdeaPad
R_2fURvorgLwZQjAh,from Motorola- Xoom,to Samsung- Galaxy Tab
R_2fxhTzfnOB45Xvv,from Apple iPad,to Samsung- Galaxy Tab
R_2fxhTzfnOB45Xvv,from Samsung- Galaxy Tab,to Apple iPad
R_2fxhTzfnOB45Xvv,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_2fxhTzfnOB45Xvv,from Asus- EeePad,to Samsung- Galaxy Tab
R_2fxhTzfnOB45Xvv,from Motorola- Xoom,to Samsung- Galaxy Tab
R_2hHidMMQJTmHj9z,from Apple iPad,to Samsung- Galaxy Tab
R_2hHidMMQJTmHj9z,from Samsung- Galaxy Tab,to Asus- EeePad
R_2hHidMMQJTmHj9z,from Lenovo- IdeaPad,to Apple iPad
R_2hHidMMQJTmHj9z,from Asus- EeePad,to Apple iPad
R_2hHidMMQJTmHj9z,from Motorola- Xoom,to Samsung- Galaxy Tab
R_2hHRoDjic177sMt,from Apple iPad,to Apple iPad
R_2hHRoDjic177sMt,from Samsung- Galaxy Tab,to Apple iPad
R_2hHRoDjic177sMt,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_2hHRoDjic177sMt,from Asus- EeePad,to Lenovo- IdeaPad
R_2hHRoDjic177sMt,from Motorola- Xoom,to Samsung- Galaxy Tab
R_2icfeAxaHCwX5Fr,from Apple iPad,to Apple iPad
R_2icfeAxaHCwX5Fr,from Samsung- Galaxy Tab,to Apple iPad
R_2icfeAxaHCwX5Fr,from Lenovo- IdeaPad,to Asus- EeePad
R_2icfeAxaHCwX5Fr,from Asus- EeePad,to Lenovo- IdeaPad
R_2icfeAxaHCwX5Fr,from Motorola- Xoom,to Lenovo- IdeaPad
R_2mkO1caa2IF1llj,from Apple iPad,to Samsung- Galaxy Tab
R_2mkO1caa2IF1llj,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_2mkO1caa2IF1llj,from Lenovo- IdeaPad,to Apple iPad
R_2mkO1caa2IF1llj,from Asus- EeePad,to Apple iPad
R_2mkO1caa2IF1llj,from Motorola- Xoom,to Apple iPad
R_2o6vub1kAdlj8gd,from Apple iPad,to Samsung- Galaxy Tab
R_2o6vub1kAdlj8gd,from Samsung- Galaxy Tab,to Apple iPad
R_2o6vub1kAdlj8gd,from Lenovo- IdeaPad,to Asus- EeePad
R_2o6vub1kAdlj8gd,from Asus- EeePad,to Lenovo- IdeaPad
R_2o6vub1kAdlj8gd,from Motorola- Xoom,to Motorola- Xoom
R_2sC0ADL9FORwEQZ,from Apple iPad,to Lenovo- IdeaPad
R_2sC0ADL9FORwEQZ,from Samsung- Galaxy Tab,to Apple iPad
R_2sC0ADL9FORwEQZ,from Lenovo- IdeaPad,to Apple iPad
R_2sC0ADL9FORwEQZ,from Asus- EeePad,to Apple iPad
R_2sC0ADL9FORwEQZ,from Motorola- Xoom,to Apple iPad
R_37B1dqDjBbdYRxz,from Apple iPad,to Samsung- Galaxy Tab
R_37B1dqDjBbdYRxz,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_37B1dqDjBbdYRxz,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_37B1dqDjBbdYRxz,from Asus- EeePad,to Lenovo- IdeaPad
R_37B1dqDjBbdYRxz,from Motorola- Xoom,to Lenovo- IdeaPad
R_39MQZEBDO0AwOB7,from Apple iPad,to Apple iPad
R_39MQZEBDO0AwOB7,from Samsung- Galaxy Tab,to Apple iPad
R_39MQZEBDO0AwOB7,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_39MQZEBDO0AwOB7,from Asus- EeePad,to Samsung- Galaxy Tab
R_39MQZEBDO0AwOB7,from Motorola- Xoom,to Apple iPad
R_39u8LkSbsj4YYYd,from Apple iPad,to Apple iPad
R_39u8LkSbsj4YYYd,from Samsung- Galaxy Tab,to Apple iPad
R_39u8LkSbsj4YYYd,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_39u8LkSbsj4YYYd,from Asus- EeePad,to Apple iPad
R_39u8LkSbsj4YYYd,from Motorola- Xoom,to Samsung- Galaxy Tab
R_3arM1lgzhfIA1uZ,from Apple iPad,to Samsung- Galaxy Tab
R_3arM1lgzhfIA1uZ,from Samsung- Galaxy Tab,to Motorola- Xoom
R_3arM1lgzhfIA1uZ,from Lenovo- IdeaPad,to Asus- EeePad
